Latitude (decimal degrees):	41.377
Longitude (decimal degrees):	2.188
Elevation (m):	10
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,0.0,0.0,12.48,6.97,0.0
20180101:0110,0.0,0.0,0.0,0.0,11.88,7.38,0.0
20180101:0210,0.0,0.0,0.0,0.0,11.29,7.59,0.0
20180101:0310,0.0,0.0,0.0,0.0,10.93,8.14,0.0
20180101:0410,0.0,0.0,0.0,0.0,10.64,8.55,0.0
20180101:0510,0.0,0.0,0.0,0.0,10.41,8.76,0.0
20180101:0610,0.0,0.0,0.0,0.0,10.06,8.07,0.0
20180101:0710,0.0,0.0,0.0,0.0,9.98,8.14,0.0
20180101:0810,54.0,40.0,0.0,7.29,9.86,7.72,0.0
20180101:0910,171.01,67.0,0.0,15.2,10.21,6.97,0.0
20180101:1010,274.01,79.0,0.0,21.22,10.97,6.48,0.0
20180101:1110,332.01,87.0,0.0,24.8,11.98,6.48,0.0
20180101:1210,306.01,112.0,0.0,25.51,12.84,7.72,0.0
20180101:1310,181.01,155.0,0.0,23.27,13.4,8.41,0.0
20180101:1410,235.01,66.0,0.0,18.35,13.77,9.1,0.0
20180101:1510,147.01,31.0,0.0,11.28,14.0,9.17,0.0
20180101:1610,0.0,2.0,0.0,2.6,13.87,8.48,0.0
20180101:1710,0.0,0.0,0.0,0.0,13.66,8.0,0.0
20180101:1810,0.0,0.0,0.0,0.0,13.73,8.0,0.0
20180101:1910,0.0,0.0,0.0,0.0,13.6,7.38,0.0
20180101:2010,0.0,0.0,0.0,0.0,13.64,7.72,0.0
20180101:2110,0.0,0.0,0.0,0.0,13.32,8.0,0.0
20180101:2210,0.0,0.0,0.0,0.0,12.78,7.66,0.0
20180101:2310,0.0,0.0,0.0,0.0,12.34,7.1,0.0
20180102:0010,0.0,0.0,0.0,0.0,12.04,5.72,0.0
20180102:0110,0.0,0.0,0.0,0.0,11.94,4.48,0.0
20180102:0210,0.0,0.0,0.0,0.0,11.85,4.76,0.0
20180102:0310,0.0,0.0,0.0,0.0,11.65,5.45,0.0
20180102:0410,0.0,0.0,0.0,0.0,11.3,6.07,0.0
20180102:0510,0.0,0.0,0.0,0.0,10.86,6.14,0.0
20180102:0610,0.0,0.0,0.0,0.0,10.38,5.79,0.0
20180102:0710,0.0,0.0,0.0,0.0,10.09,4.83,0.0
20180102:0810,53.0,37.0,0.0,7.3,9.77,4.48,0.0
20180102:0910,143.01,77.0,0.0,15.22,10.42,3.86,0.0
20180102:1010,228.01,98.0,0.0,21.26,11.79,3.31,0.0
20180102:1110,331.01,78.0,0.0,24.87,13.08,3.31,0.0
20180102:1210,311.01,99.0,0.0,25.6,14.27,3.45,0.0
20180102:1310,196.01,140.0,0.0,23.38,15.16,2.97,0.0
20180102:1410,216.01,71.0,0.0,18.47,15.78,2.83,0.0
20180102:1510,102.01,55.0,0.0,11.41,16.11,3.38,0.0
20180102:1610,0.0,12.0,0.0,2.73,15.87,3.66,0.0
20180102:1710,0.0,0.0,0.0,0.0,15.19,4.14,0.0
20180102:1810,0.0,0.0,0.0,0.0,14.62,4.76,0.0
20180102:1910,0.0,0.0,0.0,0.0,14.6,5.66,0.0
20180102:2010,0.0,0.0,0.0,0.0,14.28,6.14,0.0
20180102:2110,0.0,0.0,0.0,0.0,14.08,6.48,0.0
20180102:2210,0.0,0.0,0.0,0.0,13.88,6.83,0.0
20180102:2310,0.0,0.0,0.0,0.0,13.81,7.66,0.0
20180103:0010,0.0,0.0,0.0,0.0,13.79,8.07,0.0
20180103:0110,0.0,0.0,0.0,0.0,13.65,7.93,0.0
20180103:0210,0.0,0.0,0.0,0.0,13.55,7.72,0.0
20180103:0310,0.0,0.0,0.0,0.0,13.55,7.45,0.0
20180103:0410,0.0,0.0,0.0,0.0,13.41,7.1,0.0
20180103:0510,0.0,0.0,0.0,0.0,13.27,6.83,0.0
20180103:0610,0.0,0.0,0.0,0.0,13.09,6.55,0.0
20180103:0710,0.0,0.0,0.0,0.0,13.12,6.48,0.0
20180103:0810,20.0,49.0,0.0,7.31,13.5,6.76,0.0
20180103:0910,23.0,116.0,0.0,15.25,14.53,6.83,0.0
20180103:1010,132.01,150.0,0.0,21.31,15.87,7.17,0.0
20180103:1110,182.01,165.0,0.0,24.94,17.17,7.72,0.0
20180103:1210,247.01,139.0,0.0,25.7,18.29,7.93,0.0
20180103:1310,216.01,131.0,0.0,23.49,19.11,8.28,0.0
20180103:1410,211.01,76.0,0.0,18.6,19.36,8.76,0.0
20180103:1510,99.01,58.0,0.0,11.54,19.16,8.83,0.0
20180103:1610,0.0,14.0,0.0,2.87,18.54,8.69,0.0
20180103:1710,0.0,0.0,0.0,0.0,17.93,8.41,0.0
20180103:1810,0.0,0.0,0.0,0.0,17.41,7.66,0.0
20180103:1910,0.0,0.0,0.0,0.0,17.03,7.38,0.0
20180103:2010,0.0,0.0,0.0,0.0,16.77,7.17,0.0
20180103:2110,0.0,0.0,0.0,0.0,16.46,7.1,0.0
20180103:2210,0.0,0.0,0.0,0.0,16.17,7.1,0.0
20180103:2310,0.0,0.0,0.0,0.0,16.03,7.45,0.0
20180104:0010,0.0,0.0,0.0,0.0,15.88,8.0,0.0
20180104:0110,0.0,0.0,0.0,0.0,15.8,8.41,0.0
20180104:0210,0.0,0.0,0.0,0.0,15.76,8.41,0.0
20180104:0310,0.0,0.0,0.0,0.0,15.71,8.41,0.0
20180104:0410,0.0,0.0,0.0,0.0,15.57,8.34,0.0
20180104:0510,0.0,0.0,0.0,0.0,15.43,8.07,0.0
20180104:0610,0.0,0.0,0.0,0.0,15.19,7.38,0.0
20180104:0710,0.0,0.0,0.0,0.0,15.23,7.31,0.0
20180104:0810,56.0,37.0,0.0,7.32,15.06,7.1,0.0
20180104:0910,177.01,60.0,0.0,15.28,15.57,7.17,0.0
20180104:1010,297.01,60.0,0.0,21.37,16.52,7.45,0.0
20180104:1110,336.01,81.0,0.0,25.02,17.55,7.45,0.0
20180104:1210,335.01,91.0,0.0,25.81,18.33,6.97,0.0
20180104:1310,336.01,63.0,0.0,23.62,18.77,6.28,0.0
20180104:1410,218.01,76.0,0.0,18.74,18.83,5.79,0.0
20180104:1510,126.01,46.0,0.0,11.68,18.53,5.52,0.0
20180104:1610,0.0,16.0,0.0,3.01,17.77,5.24,0.0
20180104:1710,0.0,0.0,0.0,0.0,16.81,5.31,0.0
20180104:1810,0.0,0.0,0.0,0.0,16.15,5.38,0.0
20180104:1910,0.0,0.0,0.0,0.0,16.08,4.9,0.0
20180104:2010,0.0,0.0,0.0,0.0,15.52,4.9,0.0
20180104:2110,0.0,0.0,0.0,0.0,15.14,5.24,0.0
20180104:2210,0.0,0.0,0.0,0.0,14.82,5.24,0.0
20180104:2310,0.0,0.0,0.0,0.0,14.35,4.83,0.0
20180105:0010,0.0,0.0,0.0,0.0,13.85,4.76,0.0
20180105:0110,0.0,0.0,0.0,0.0,13.38,4.76,0.0
20180105:0210,0.0,0.0,0.0,0.0,12.94,4.55,0.0
20180105:0310,0.0,0.0,0.0,0.0,12.55,4.55,0.0
20180105:0410,0.0,0.0,0.0,0.0,12.17,4.55,0.0
20180105:0510,0.0,0.0,0.0,0.0,11.86,4.55,0.0
20180105:0610,0.0,0.0,0.0,0.0,11.61,4.62,0.0
20180105:0710,0.0,0.0,0.0,0.0,11.7,4.69,0.0
20180105:0810,61.01,34.0,0.0,7.34,11.86,4.9,0.0
20180105:0910,172.01,64.0,0.0,15.33,12.84,5.17,0.0
20180105:1010,288.01,67.0,0.0,21.44,14.0,5.66,0.0
20180105:1110,332.01,85.0,0.0,25.12,15.04,5.79,0.0
20180105:1210,365.01,73.0,0.0,25.92,15.77,5.31,0.0
20180105:1310,346.01,58.0,0.0,23.75,16.21,4.83,0.0
20180105:1410,234.01,69.0,0.0,18.88,16.32,4.48,0.0
20180105:1510,124.01,49.0,0.0,11.83,15.99,4.34,0.0
20180105:1610,0.0,15.0,0.0,3.16,15.25,4.34,0.0
