Latitude (decimal degrees):	46.951
Longitude (decimal degrees):	7.450
Elevation (m):	510
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,0.0,0.0,2.55,3.03,0.0
20180101:0110,0.0,0.0,0.0,0.0,3.49,3.31,0.0
20180101:0210,0.0,0.0,0.0,0.0,3.42,3.03,0.0
20180101:0310,0.0,0.0,0.0,0.0,3.23,2.97,0.0
20180101:0410,0.0,0.0,0.0,0.0,2.91,2.97,0.0
20180101:0510,0.0,0.0,0.0,0.0,2.91,2.9,0.0
20180101:0610,0.0,0.0,0.0,0.0,2.46,2.97,0.0
20180101:0710,0.0,0.0,0.0,0.0,2.25,2.97,0.0
20180101:0810,0.0,28.0,0.0,6.44,1.75,2.83,0.0
20180101:0910,163.01,45.0,0.0,12.97,2.4,3.03,0.0
20180101:1010,229.01,63.0,0.0,17.58,3.02,2.97,0.0
20180101:1110,277.01,62.0,0.0,19.85,3.61,4.0,0.0
20180101:1210,287.01,51.0,0.0,19.54,4.07,3.93,0.0
20180101:1310,85.0,127.0,0.0,16.69,4.27,3.52,0.0
20180101:1410,0.0,52.0,0.0,11.58,4.13,3.45,0.0
20180101:1510,0.0,11.0,0.0,4.66,3.7,3.38,0.0
20180101:1610,0.0,0.0,0.0,0.0,2.82,3.45,0.0
20180101:1710,0.0,0.0,0.0,0.0,2.43,3.38,0.0
20180101:1810,0.0,0.0,0.0,0.0,2.21,3.66,0.0
20180101:1910,0.0,0.0,0.0,0.0,2.05,3.52,0.0
20180101:2010,0.0,0.0,0.0,0.0,1.83,3.72,0.0
20180101:2110,0.0,0.0,0.0,0.0,1.69,3.93,0.0
20180101:2210,0.0,0.0,0.0,0.0,1.4,3.79,0.0
20180101:2310,0.0,0.0,0.0,0.0,1.58,3.59,0.0
20180102:0010,0.0,0.0,0.0,0.0,1.55,3.31,0.0
20180102:0110,0.0,0.0,0.0,0.0,1.45,2.9,0.0
20180102:0210,0.0,0.0,0.0,0.0,1.53,2.62,0.0
20180102:0310,0.0,0.0,0.0,0.0,1.5,2.69,0.0
20180102:0410,0.0,0.0,0.0,0.0,1.21,2.97,0.0
20180102:0510,0.0,0.0,0.0,0.0,1.06,3.03,0.0
20180102:0610,0.0,0.0,0.0,0.0,1.14,3.1,0.0
20180102:0710,0.0,0.0,0.0,0.0,0.95,2.97,0.0
20180102:0810,0.0,44.0,0.0,6.45,0.82,2.83,0.0
20180102:0910,63.0,97.0,0.0,13.01,1.01,2.69,0.0
20180102:1010,142.01,114.0,0.0,17.64,1.27,2.97,0.0
20180102:1110,214.01,102.0,0.0,19.93,1.78,2.69,0.0
20180102:1210,5.0,134.0,0.0,19.64,2.32,3.03,0.0
20180102:1310,20.0,133.0,0.0,16.8,2.55,2.76,0.0
20180102:1410,0.0,90.0,0.0,11.7,2.55,2.28,0.0
20180102:1510,0.0,30.0,0.0,4.79,2.22,2.28,0.0
20180102:1610,0.0,0.0,0.0,0.0,1.65,2.14,0.0
20180102:1710,0.0,0.0,0.0,0.0,1.3,2.07,0.0
20180102:1810,0.0,0.0,0.0,0.0,1.19,2.07,0.0
20180102:1910,0.0,0.0,0.0,0.0,0.95,2.28,0.0
20180102:2010,0.0,0.0,0.0,0.0,0.99,2.14,0.0
20180102:2110,0.0,0.0,0.0,0.0,1.03,2.34,0.0
20180102:2210,0.0,0.0,0.0,0.0,1.49,2.55,0.0
20180102:2310,0.0,0.0,0.0,0.0,2.01,2.76,0.0
20180103:0010,0.0,0.0,0.0,0.0,2.64,2.9,0.0
20180103:0110,0.0,0.0,0.0,0.0,3.37,2.97,0.0
20180103:0210,0.0,0.0,0.0,0.0,4.12,3.31,0.0
20180103:0310,0.0,0.0,0.0,0.0,5.22,3.93,0.0
20180103:0410,0.0,0.0,0.0,0.0,6.04,4.55,0.0
20180103:0510,0.0,0.0,0.0,0.0,6.81,4.9,0.0
20180103:0610,0.0,0.0,0.0,0.0,7.16,5.03,0.0
20180103:0710,0.0,0.0,0.0,0.0,8.38,5.52,0.0
20180103:0810,0.0,43.0,0.0,6.48,8.52,5.93,0.0
20180103:0910,0.0,52.0,0.0,13.05,8.49,6.41,0.0
20180103:1010,1.0,105.0,0.0,17.7,8.06,7.24,0.0
20180103:1110,0.0,33.0,0.0,20.01,6.78,7.72,0.0
20180103:1210,0.0,35.0,0.0,19.74,5.19,7.1,0.0
