Latitude (decimal degrees):	47.313
Longitude (decimal degrees):	5.049
Elevation (m):	236
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,0.0,0.0,7.71,5.24,0.0
20180101:0110,0.0,0.0,0.0,0.0,7.26,5.17,0.0
20180101:0210,0.0,0.0,0.0,0.0,6.76,4.97,0.0
20180101:0310,0.0,0.0,0.0,0.0,6.22,4.97,0.0
20180101:0410,0.0,0.0,0.0,0.0,5.84,4.97,0.0
20180101:0510,0.0,0.0,0.0,0.0,5.72,4.97,0.0
20180101:0610,0.0,0.0,0.0,0.0,5.62,4.9,0.0
20180101:0710,0.0,0.0,0.0,0.0,5.8,4.48,0.0
20180101:0810,18.0,27.32,0.0,5.0,5.42,4.34,0.0
20180101:0910,44.0,88.0,0.0,11.75,5.86,4.83,0.0
20180101:1010,91.0,123.0,0.0,16.65,6.47,5.38,0.0
20180101:1110,2.0,116.0,0.0,19.3,6.89,6.48,0.0
20180101:1210,0.0,59.0,0.0,19.41,6.59,7.52,0.0
20180101:1310,0.0,30.0,0.0,16.97,5.92,8.0,0.0
20180101:1410,4.0,77.0,0.0,12.23,5.75,8.28,0.0
20180101:1510,0.0,20.0,0.0,5.62,5.64,8.34,0.0
20180101:1610,0.0,0.0,0.0,0.0,5.73,7.72,0.0
20180101:1710,0.0,0.0,0.0,0.0,5.95,7.1,0.0
20180101:1810,0.0,0.0,0.0,0.0,6.19,6.83,0.0
20180101:1910,0.0,0.0,0.0,0.0,6.14,6.97,0.0
20180101:2010,0.0,0.0,0.0,0.0,6.08,7.1,0.0
20180101:2110,0.0,0.0,0.0,0.0,5.83,6.55,0.0
20180101:2210,0.0,0.0,0.0,0.0,5.45,5.86,0.0
20180101:2310,0.0,0.0,0.0,0.0,5.01,5.24,0.0
20180102:0010,0.0,0.0,0.0,0.0,4.98,5.03,0.0
20180102:0110,0.0,0.0,0.0,0.0,4.91,4.97,0.0
20180102:0210,0.0,0.0,0.0,0.0,4.79,5.1,0.0
20180102:0310,0.0,0.0,0.0,0.0,4.65,4.83,0.0
20180102:0410,0.0,0.0,0.0,0.0,4.64,4.83,0.0
20180102:0510,0.0,0.0,0.0,0.0,4.58,4.76,0.0
20180102:0610,0.0,0.0,0.0,0.0,4.45,4.34,0.0
20180102:0710,0.0,0.0,0.0,0.0,3.95,3.31,0.0
20180102:0810,0.0,9.0,0.0,5.02,3.69,2.97,0.0
20180102:0910,18.0,89.0,0.0,11.78,4.29,2.62,0.0
20180102:1010,13.0,124.0,0.0,16.71,5.48,3.38,0.0
20180102:1110,14.0,146.0,0.0,19.37,6.08,4.07,0.0
20180102:1210,0.0,100.0,0.0,19.5,6.66,4.14,0.0
20180102:1310,0.0,55.0,0.0,17.07,6.95,4.34,0.0
20180102:1410,3.0,77.0,0.0,12.35,6.84,4.55,0.0
20180102:1510,2.0,33.0,0.0,5.75,6.38,4.41,0.0
20180102:1610,0.0,0.0,0.0,0.0,6.0,4.9,0.0
20180102:1710,0.0,0.0,0.0,0.0,5.53,5.38,0.0
20180102:1810,0.0,0.0,0.0,0.0,5.3,5.59,0.0
20180102:1910,0.0,0.0,0.0,0.0,5.97,4.97,0.0
20180102:2010,0.0,0.0,0.0,0.0,6.18,4.76,0.0
20180102:2110,0.0,0.0,0.0,0.0,6.68,4.48,0.0
20180102:2210,0.0,0.0,0.0,0.0,7.53,4.21,0.0
20180102:2310,0.0,0.0,0.0,0.0,8.32,4.62,0.0
20180103:0010,0.0,0.0,0.0,0.0,9.04,5.38,0.0
20180103:0110,0.0,0.0,0.0,0.0,9.52,5.79,0.0
20180103:0210,0.0,0.0,0.0,0.0,9.73,6.07,0.0
