Latitude (decimal degrees):	51.496
Longitude (decimal degrees):	-0.118
Elevation (m):	15
Radiation database:	PVGIS-SARAH2


Slope: 0 deg.
Azimuth: 0 deg.
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,0.0,0.0,6.59,6.69,0.0
20180101:0110,0.0,0.0,0.0,0.0,6.05,6.07,0.0
20180101:0210,0.0,0.0,0.0,0.0,5.64,5.86,0.0
20180101:0310,0.0,0.0,0.0,0.0,5.41,5.93,0.0
20180101:0410,0.0,0.0,0.0,0.0,5.26,6.14,0.0
20180101:0510,0.0,0.0,0.0,0.0,5.4,5.93,0.0
20180101:0610,0.0,0.0,0.0,0.0,5.57,5.45,0.0
20180101:0710,0.0,0.0,0.0,0.0,4.74,4.21,0.0
20180101:0810,0.0,0.0,0.0,0.0,4.8,3.52,0.0
20180101:0910,0.0,15.0,0.0,6.41,5.29,3.17,0.0
20180101:1010,5.0,75.0,0.0,11.48,6.11,2.83,0.0
20180101:1110,0.0,76.0,0.0,14.59,6.73,2.14,0.0
20180101:1210,0.0,30.0,0.0,15.48,6.99,1.59,0.0
20180101:1310,0.0,71.0,0.0,14.05,7.09,2.21,0.0
20180101:1410,7.0,71.0,0.0,10.44,6.99,3.52,0.0
20180101:1510,7.0,29.23,0.0,4.97,6.61,4.14,0.0
20180101:1610,0.0,0.0,0.0,0.0,5.95,4.34,0.0
20180101:1710,0.0,0.0,0.0,0.0,5.39,4.41,0.0
20180101:1810,0.0,0.0,0.0,0.0,5.15,4.83,0.0
20180101:1910,0.0,0.0,0.0,0.0,5.68,6.69,0.0
20180101:2010,0.0,0.0,0.0,0.0,5.95,7.45,0.0
20180101:2110,0.0,0.0,0.0,0.0,6.07,7.45,0.0
20180101:2210,0.0,0.0,0.0,0.0,5.85,6.97,0.0
20180101:2310,0.0,0.0,0.0,0.0,5.56,6.48,0.0
20180102:0010,0.0,0.0,0.0,0.0,5.3,5.93,0.0
20180102:0110,0.0,0.0,0.0,0.0,4.81,5.03,0.0
20180102:0210,0.0,0.0,0.0,0.0,4.25,4.55,0.0
20180102:0310,0.0,0.0,0.0,0.0,3.79,4.0,0.0
20180102:0410,0.0,0.0,0.0,0.0,3.23,3.52,0.0
20180102:0510,0.0,0.0,0.0,0.0,2.66,3.24,0.0
20180102:0610,0.0,0.0,0.0,0.0,2.46,3.1,0.0
20180102:0710,0.0,0.0,0.0,0.0,2.57,2.69,0.0
20180102:0810,0.0,0.0,0.0,0.0,2.74,2.69,0.0
20180102:0910,0.0,24.0,0.0,6.45,3.45,2.76,0.0
20180102:1010,0.0,25.0,0.0,11.53,5.17,3.1,0.0
20180102:1110,0.0,39.0,0.0,14.66,6.78,4.14,0.0
20180102:1210,0.0,67.0,0.0,15.57,7.56,5.31,0.0
20180102:1310,8.0,99.0,0.0,14.15,8.06,6.21,0.0
20180102:1410,0.0,45.0,0.0,10.56,8.33,6.14,0.0
20180102:1510,1.0,22.82,0.0,5.09,9.2,5.38,0.0
20180102:1610,0.0,0.0,0.0,0.0,9.95,6.21,0.0
20180102:1710,0.0,0.0,0.0,0.0,9.5,6.0,0.0
20180102:1810,0.0,0.0,0.0,0.0,8.8,5.45,0.0
20180102:1910,0.0,0.0,0.0,0.0,8.76,5.45,0.0
20180102:2010,0.0,0.0,0.0,0.0,9.19,7.31,0.0
20180102:2110,0.0,0.0,0.0,0.0,9.78,8.41,0.0
20180102:2210,0.0,0.0,0.0,0.0,10.45,9.03,0.0
20180102:2310,0.0,0.0,0.0,0.0,11.42,9.59,0.0
20180103:0010,0.0,0.0,0.0,0.0,11.77,10.62,0.0
20180103:0110,0.0,0.0,0.0,0.0,9.88,8.9,0.0
20180103:0210,0.0,0.0,0.0,0.0,8.87,9.93,0.0
20180103:0310,0.0,0.0,0.0,0.0,7.24,9.79,0.0
20180103:0410,0.0,0.0,0.0,0.0,6.63,9.24,0.0
20180103:0510,0.0,0.0,0.0,0.0,6.27,9.17,0.0
20180103:0610,0.0,0.0,0.0,0.0,6.3,9.52,0.0
20180103:0710,0.0,0.0,0.0,0.0,7.07,9.17,0.0
20180103:0810,0.0,0.0,0.0,0.0,7.27,9.38,0.0
20180103:0910,2.0,38.0,0.0,6.49,7.4,9.17,0.0
20180103:1010,75.01,78.0,0.0,11.59,7.93,8.9,0.0
20180103:1110,0.0,67.0,0.0,14.74,8.73,9.03,0.0
20180103:1210,63.0,124.0,0.0,15.66,9.36,9.03,0.0
20180103:1310,0.0,75.0,0.0,14.26,9.57,8.83,0.0
20180103:1410,93.01,59.0,0.0,10.68,9.55,8.83,0.0
20180103:1510,34.0,20.59,0.0,5.22,9.22,8.48,0.0
20180103:1610,0.0,0.0,0.0,0.0,8.69,8.07,0.0
20180103:1710,0.0,0.0,0.0,0.0,8.35,7.72,0.0
20180103:1810,0.0,0.0,0.0,0.0,8.14,7.52,0.0
20180103:1910,0.0,0.0,0.0,0.0,7.73,6.83,0.0
20180103:2010,0.0,0.0,0.0,0.0,7.43,6.55,0.0
20180103:2110,0.0,0.0,0.0,0.0,7.14,6.34,0.0
20180103:2210,0.0,0.0,0.0,0.0,6.97,6.07,0.0
20180103:2310,0.0,0.0,0.0,0.0,6.86,5.79,0.0
