Latitude (decimal degrees):	45.473
Longitude (decimal degrees):	9.185
Elevation (m):	133
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,0.0,0.0,2.95,0.76,0.0
20180101:0110,0.0,0.0,0.0,0.0,3.49,0.21,0.0
20180101:0210,0.0,0.0,0.0,0.0,3.56,0.14,0.0
20180101:0310,0.0,0.0,0.0,0.0,3.51,0.48,0.0
20180101:0410,0.0,0.0,0.0,0.0,2.92,1.03,0.0
20180101:0510,0.0,0.0,0.0,0.0,2.95,1.1,0.0
20180101:0610,0.0,0.0,0.0,0.0,2.85,1.45,0.0
20180101:0710,0.0,0.0,0.0,0.0,2.93,1.66,0.0
20180101:0810,1.0,44.0,0.0,8.32,2.95,2.07,0.0
20180101:0910,2.0,93.0,0.0,14.85,3.72,2.41,0.0
20180101:1010,111.01,147.0,0.0,19.36,4.86,2.55,0.0
20180101:1110,0.0,87.0,0.0,21.42,5.92,3.24,0.0
20180101:1210,0.0,97.0,0.0,20.79,7.05,3.38,0.0
20180101:1310,1.0,98.0,0.0,17.55,7.75,2.97,0.0
20180101:1410,1.0,70.0,0.0,12.04,8.12,2.21,0.0
20180101:1510,0.0,5.0,0.0,4.73,7.64,1.45,0.0
20180101:1610,0.0,0.0,0.0,0.0,5.95,2.07,0.0
20180101:1710,0.0,0.0,0.0,0.0,4.15,1.52,0.0
20180101:1810,0.0,0.0,0.0,0.0,3.1,1.52,0.0
20180101:1910,0.0,0.0,0.0,0.0,3.16,0.83,0.0
20180101:2010,0.0,0.0,0.0,0.0,3.48,0.21,0.0
20180101:2110,0.0,0.0,0.0,0.0,3.09,0.41,0.0
20180101:2210,0.0,0.0,0.0,0.0,2.63,0.48,0.0
20180101:2310,0.0,0.0,0.0,0.0,-0.05,1.59,0.0
20180102:0010,0.0,0.0,0.0,0.0,-0.19,1.86,0.0
20180102:0110,0.0,0.0,0.0,0.0,0.12,2.07,0.0
20180102:0210,0.0,0.0,0.0,0.0,0.27,2.55,0.0
20180102:0310,0.0,0.0,0.0,0.0,0.53,3.17,0.0
20180102:0410,0.0,0.0,0.0,0.0,0.51,3.45,0.0
20180102:0510,0.0,0.0,0.0,0.0,0.32,3.31,0.0
20180102:0610,0.0,0.0,0.0,0.0,0.27,3.1,0.0
20180102:0710,0.0,0.0,0.0,0.0,0.05,2.62,0.0
20180102:0810,39.0,59.0,0.0,8.33,0.34,2.34,0.0
20180102:0910,159.01,75.0,0.0,14.89,2.35,2.28,0.0
20180102:1010,281.01,59.0,0.0,19.42,5.56,2.41,0.0
20180102:1110,307.01,70.0,0.0,21.5,8.58,2.55,0.0
20180102:1210,296.01,69.0,0.0,20.89,10.74,2.28,0.0
20180102:1310,230.01,68.0,0.0,17.67,11.6,2.28,0.0
20180102:1410,149.01,46.0,0.0,12.16,11.24,1.72,0.0
20180102:1510,47.01,9.72,0.0,4.86,10.0,1.93,0.0
20180102:1610,0.0,0.0,0.0,0.0,7.3,2.83,0.0
20180102:1710,0.0,0.0,0.0,0.0,4.85,2.55,0.0
20180102:1810,0.0,0.0,0.0,0.0,3.15,2.41,0.0
20180102:1910,0.0,0.0,0.0,0.0,3.23,2.0,0.0
20180102:2010,0.0,0.0,0.0,0.0,3.06,1.66,0.0
20180102:2110,0.0,0.0,0.0,0.0,2.66,1.59,0.0
20180102:2210,0.0,0.0,0.0,0.0,1.89,1.59,0.0
20180102:2310,0.0,0.0,0.0,0.0,1.37,1.79,0.0
20180103:0010,0.0,0.0,0.0,0.0,1.41,1.79,0.0
20180103:0110,0.0,0.0,0.0,0.0,1.04,1.79,0.0
20180103:0210,0.0,0.0,0.0,0.0,1.99,1.24,0.0
20180103:0310,0.0,0.0,0.0,0.0,1.66,1.24,0.0
20180103:0410,0.0,0.0,0.0,0.0,0.24,1.86,0.0
20180103:0510,0.0,0.0,0.0,0.0,-0.14,1.72,0.0
20180103:0610,0.0,0.0,0.0,0.0,-0.89,1.72,0.0
20180103:0710,0.0,0.0,0.0,0.0,-0.39,1.1,0.0
20180103:0810,0.0,34.0,0.0,8.36,-0.63,1.1,0.0
20180103:0910,96.01,102.0,0.0,14.93,2.02,0.83,0.0
20180103:1010,239.01,77.0,0.0,19.49,4.93,0.55,0.0
20180103:1110,104.0,168.0,0.0,21.59,6.75,0.69,0.0
20180103:1210,0.0,86.0,0.0,21.0,7.83,1.52,0.0
20180103:1310,1.0,100.0,0.0,17.79,8.29,2.0,0.0
20180103:1410,5.0,81.0,0.0,12.29,7.68,2.28,0.0
20180103:1510,0.0,17.0,0.0,4.99,6.65,2.28,0.0
20180103:1610,0.0,0.0,0.0,0.0,5.24,1.79,0.0
20180103:1710,0.0,0.0,0.0,0.0,3.54,2.14,0.0
20180103:1810,0.0,0.0,0.0,0.0,2.94,2.48,0.0
20180103:1910,0.0,0.0,0.0,0.0,2.3,2.83,0.0
20180103:2010,0.0,0.0,0.0,0.0,2.05,2.69,0.0
20180103:2110,0.0,0.0,0.0,0.0,2.08,3.03,0.0
20180103:2210,0.0,0.0,0.0,0.0,2.02,2.34,0.0
20180103:2310,0.0,0.0,0.0,0.0,1.42,1.86,0.0
20180104:0010,0.0,0.0,0.0,0.0,0.72,1.93,0.0
20180104:0110,0.0,0.0,0.0,0.0,0.64,1.72,0.0
20180104:0210,0.0,0.0,0.0,0.0,0.72,1.72,0.0
20180104:0310,0.0,0.0,0.0,0.0,1.87,1.24,0.0
20180104:0410,0.0,0.0,0.0,0.0,3.13,0.76,0.0
20180104:0510,0.0,0.0,0.0,0.0,1.64,1.86,0.0
20180104:0610,0.0,0.0,0.0,0.0,0.91,1.86,0.0
20180104:0710,0.0,0.0,0.0,0.0,0.03,1.93,0.0
20180104:0810,78.01,37.0,0.0,8.39,0.98,1.79,0.0
20180104:0910,74.0,110.0,0.0,14.98,3.81,1.72,0.0
20180104:1010,259.01,63.0,0.0,19.56,6.32,1.72,0.0
20180104:1110,296.01,66.0,0.0,21.68,7.95,1.66,0.0
20180104:1210,286.01,65.0,0.0,21.11,8.96,1.45,0.0
20180104:1310,230.01,60.0,0.0,17.91,9.46,1.31,0.0
20180104:1410,157.01,37.0,0.0,12.43,9.57,1.38,0.0
20180104:1510,41.01,13.51,0.0,5.13,8.92,1.17,0.0
20180104:1610,0.0,0.0,0.0,0.0,7.02,1.31,0.0
20180104:1710,0.0,0.0,0.0,0.0,4.9,1.1,0.0
20180104:1810,0.0,0.0,0.0,0.0,4.53,1.17,0.0
20180104:1910,0.0,0.0,0.0,0.0,5.7,0.62,0.0
20180104:2010,0.0,0.0,0.0,0.0,4.76,0.76,0.0
20180104:2110,0.0,0.0,0.0,0.0,3.72,0.9,0.0
20180104:2210,0.0,0.0,0.0,0.0,3.08,1.1,0.0
20180104:2310,0.0,0.0,0.0,0.0,2.86,0.76,0.0
20180105:0010,0.0,0.0,0.0,0.0,1.58,1.03,0.0
20180105:0110,0.0,0.0,0.0,0.0,1.11,0.76,0.0
20180105:0210,0.0,0.0,0.0,0.0,1.0,0.48,0.0
20180105:0310,0.0,0.0,0.0,0.0,0.66,0.62,0.0
20180105:0410,0.0,0.0,0.0,0.0,0.47,0.62,0.0
20180105:0510,0.0,0.0,0.0,0.0,0.69,0.83,0.0
20180105:0610,0.0,0.0,0.0,0.0,0.58,1.17,0.0
20180105:0710,0.0,0.0,0.0,0.0,0.19,0.9,0.0
20180105:0810,9.0,57.0,0.0,8.43,0.68,1.03,0.0
20180105:0910,0.0,80.0,0.0,15.04,1.7,0.41,0.0
20180105:1010,2.0,119.0,0.0,19.64,2.91,0.97,0.0
20180105:1110,0.0,111.0,0.0,21.79,4.52,1.31,0.0
20180105:1210,8.0,148.0,0.0,21.23,5.63,1.24,0.0
20180105:1310,0.0,49.0,0.0,18.05,6.48,1.52,0.0
20180105:1410,0.0,17.0,0.0,12.57,7.06,1.52,0.0
20180105:1510,2.0,27.57,0.0,5.28,6.72,1.1,0.0
20180105:1610,0.0,0.0,0.0,0.0,5.74,1.31,0.0
20180105:1710,0.0,0.0,0.0,0.0,4.54,1.66,0.0
20180105:1810,0.0,0.0,0.0,0.0,3.99,1.66,0.0
20180105:1910,0.0,0.0,0.0,0.0,4.19,1.79,0.0
20180105:2010,0.0,0.0,0.0,0.0,4.55,1.79,0.0
20180105:2110,0.0,0.0,0.0,0.0,4.93,1.59,0.0
20180105:2210,0.0,0.0,0.0,0.0,5.12,1.38,0.0
20180105:2310,0.0,0.0,0.0,0.0,5.18,1.17,0.0
20180106:0010,0.0,0.0,0.0,0.0,5.35,1.24,0.0
20180106:0110,0.0,0.0,0.0,0.0,5.56,1.45,0.0
20180106:0210,0.0,0.0,0.0,0.0,5.71,1.59,0.0
20180106:0310,0.0,0.0,0.0,0.0,5.72,1.52,0.0
20180106:0410,0.0,0.0,0.0,0.0,5.72,1.45,0.0
20180106:0510,0.0,0.0,0.0,0.0,5.67,1.38,0.0
20180106:0610,0.0,0.0,0.0,0.0,5.54,1.38,0.0
20180106:0710,0.0,0.0,0.0,0.0,4.46,1.24,0.0
20180106:0810,0.0,32.0,0.0,8.47,4.69,0.97,0.0
20180106:0910,0.0,52.0,0.0,15.11,5.59,0.62,0.0
20180106:1010,0.0,43.0,0.0,19.73,6.29,0.14,0.0
20180106:1110,0.0,33.0,0.0,21.9,6.61,0.41,0.0
20180106:1210,0.0,64.0,0.0,21.36,6.97,0.62,0.0
20180106:1310,0.0,84.0,0.0,18.19,7.28,0.55,0.0
20180106:1410,1.0,68.0,0.0,12.72,7.58,0.62,0.0
20180106:1510,0.0,12.0,0.0,5.43,7.5,0.62,0.0
20180106:1610,0.0,0.0,0.0,0.0,7.22,0.55,0.0
20180106:1710,0.0,0.0,0.0,0.0,6.81,0.76,0.0
20180106:1810,0.0,0.0,0.0,0.0,6.54,0.9,0.0
20180106:1910,0.0,0.0,0.0,0.0,6.08,0.62,0.0
20180106:2010,0.0,0.0,0.0,0.0,6.09,0.9,0.0
20180106:2110,0.0,0.0,0.0,0.0,6.19,0.97,0.0
20180106:2210,0.0,0.0,0.0,0.0,6.62,0.55,0.0
