Latitude (decimal degrees):	48.856
Longitude (decimal degrees):	2.351
Elevation (m):	34
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,0.0,0.0,7.82,7.38,0.0
20180101:0110,0.0,0.0,0.0,0.0,7.55,7.1,0.0
20180101:0210,0.0,0.0,0.0,0.0,7.44,6.69,0.0
20180101:0310,0.0,0.0,0.0,0.0,7.31,6.48,0.0
20180101:0410,0.0,0.0,0.0,0.0,7.03,6.21,0.0
20180101:0510,0.0,0.0,0.0,0.0,6.91,6.0,0.0
20180101:0610,0.0,0.0,0.0,0.0,6.87,5.72,0.0
20180101:0710,0.0,0.0,0.0,0.0,6.74,5.86,0.0
20180101:0810,0.0,7.0,0.0,2.64,6.84,5.79,0.0
20180101:0910,0.0,24.0,0.0,9.45,7.25,6.21,0.0
20180101:1010,0.0,20.0,0.0,14.53,7.02,7.17,0.0
20180101:1110,76.0,134.0,0.0,17.49,7.02,8.28,0.0
20180101:1210,0.0,78.0,0.0,18.04,7.68,7.66,0.0
20180101:1310,186.01,66.0,0.0,16.11,8.63,6.76,0.0
20180101:1410,0.0,33.0,0.0,11.92,9.01,7.24,0.0
20180101:1510,14.0,37.0,0.0,5.82,8.24,7.72,0.0
20180101:1610,0.0,0.0,0.0,0.0,7.31,9.17,0.0
20180101:1710,0.0,0.0,0.0,0.0,6.7,9.1,0.0
20180101:1810,0.0,0.0,0.0,0.0,6.87,7.59,0.0
20180101:1910,0.0,0.0,0.0,0.0,7.26,7.1,0.0
20180101:2010,0.0,0.0,0.0,0.0,6.94,6.55,0.0
20180101:2110,0.0,0.0,0.0,0.0,7.02,6.34,0.0
20180101:2210,0.0,0.0,0.0,0.0,7.21,6.14,0.0
20180101:2310,0.0,0.0,0.0,0.0,7.43,6.14,0.0
20180102:0010,0.0,0.0,0.0,0.0,7.43,6.07,0.0
20180102:0110,0.0,0.0,0.0,0.0,7.18,5.79,0.0
20180102:0210,0.0,0.0,0.0,0.0,6.84,5.24,0.0
20180102:0310,0.0,0.0,0.0,0.0,6.7,5.1,0.0
20180102:0410,0.0,0.0,0.0,0.0,6.56,4.83,0.0
20180102:0510,0.0,0.0,0.0,0.0,6.24,4.21,0.0
20180102:0610,0.0,0.0,0.0,0.0,6.3,3.66,0.0
20180102:0710,0.0,0.0,0.0,0.0,5.2,3.24,0.0
20180102:0810,0.0,7.0,0.0,2.66,5.41,3.45,0.0
20180102:0910,1.0,49.0,0.0,9.48,5.83,3.31,0.0
20180102:1010,2.0,87.0,0.0,14.58,6.26,3.1,0.0
20180102:1110,18.0,133.0,0.0,17.56,7.33,3.86,0.0
20180102:1210,10.0,130.0,0.0,18.13,7.98,3.86,0.0
20180102:1310,1.0,85.0,0.0,16.22,8.27,3.86,0.0
20180102:1410,2.0,70.0,0.0,12.04,8.44,4.69,0.0
20180102:1510,1.0,31.0,0.0,5.94,8.42,5.17,0.0
20180102:1610,0.0,0.0,0.0,0.0,8.53,5.24,0.0
20180102:1710,0.0,0.0,0.0,0.0,8.99,4.97,0.0
20180102:1810,0.0,0.0,0.0,0.0,9.88,4.83,0.0
20180102:1910,0.0,0.0,0.0,0.0,10.34,5.17,0.0
20180102:2010,0.0,0.0,0.0,0.0,11.02,5.24,0.0
20180102:2110,0.0,0.0,0.0,0.0,11.53,6.28,0.0
20180102:2210,0.0,0.0,0.0,0.0,11.68,7.17,0.0
20180102:2310,0.0,0.0,0.0,0.0,11.2,7.52,0.0
20180103:0010,0.0,0.0,0.0,0.0,11.1,8.0,0.0
20180103:0110,0.0,0.0,0.0,0.0,11.6,8.62,0.0
20180103:0210,0.0,0.0,0.0,0.0,12.36,9.17,0.0
20180103:0310,0.0,0.0,0.0,0.0,12.97,9.59,0.0
20180103:0410,0.0,0.0,0.0,0.0,12.86,10.28,0.0
20180103:0510,0.0,0.0,0.0,0.0,11.08,8.76,0.0
20180103:0610,0.0,0.0,0.0,0.0,9.61,8.76,0.0
20180103:0710,0.0,0.0,0.0,0.0,8.71,8.97,0.0
20180103:0810,5.0,12.94,0.0,2.68,8.15,8.9,0.0
20180103:0910,0.0,17.0,0.0,9.52,7.88,8.9,0.0
20180103:1010,151.01,72.0,0.0,14.64,7.97,8.76,0.0
20180103:1110,188.01,87.0,0.0,17.64,8.63,7.93,0.0
20180103:1210,27.0,145.0,0.0,18.23,9.18,7.52,0.0
20180103:1310,217.01,53.0,0.0,16.33,9.53,8.14,0.0
20180103:1410,122.01,58.0,0.0,12.16,9.69,7.72,0.0
20180103:1510,2.0,34.0,0.0,6.07,9.37,7.72,0.0
20180103:1610,0.0,0.0,0.0,0.0,8.93,7.1,0.0
20180103:1710,0.0,0.0,0.0,0.0,8.65,6.62,0.0
20180103:1810,0.0,0.0,0.0,0.0,8.55,6.48,0.0
20180103:1910,0.0,0.0,0.0,0.0,8.52,5.66,0.0
20180103:2010,0.0,0.0,0.0,0.0,8.47,5.52,0.0
20180103:2110,0.0,0.0,0.0,0.0,8.45,5.24,0.0
20180103:2210,0.0,0.0,0.0,0.0,8.42,4.76,0.0
20180103:2310,0.0,0.0,0.0,0.0,8.28,4.28,0.0
20180104:0010,0.0,0.0,0.0,0.0,8.51,3.86,0.0
20180104:0110,0.0,0.0,0.0,0.0,8.69,3.03,0.0
20180104:0210,0.0,0.0,0.0,0.0,8.8,2.41,0.0
