Latitude (decimal degrees):	41.894
Longitude (decimal degrees):	12.484
Elevation (m):	36
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20180101:0010,0.0,0.0,0.0,0.0,12.16,3.52,0.0
20180101:0110,0.0,0.0,0.0,0.0,12.09,4.14,0.0
20180101:0210,0.0,0.0,0.0,0.0,11.86,4.69,0.0
20180101:0310,0.0,0.0,0.0,0.0,11.54,5.1,0.0
20180101:0410,0.0,0.0,0.0,0.0,11.25,5.59,0.0
20180101:0510,0.0,0.0,0.0,0.0,11.15,6.07,0.0
20180101:0610,0.0,0.0,0.0,0.0,11.2,6.41,0.0
20180101:0710,5.0,23.79,0.0,4.21,12.22,6.97,0.0
20180101:0810,19.0,95.0,0.0,12.52,12.77,6.28,0.0
20180101:0910,0.0,62.0,0.0,19.12,13.37,5.17,0.0
20180101:1010,0.0,118.0,0.0,23.47,13.47,6.55,0.0
20180101:1110,13.0,185.0,0.0,25.09,13.07,8.34,0.0
20180101:1210,0.0,121.0,0.0,23.78,13.22,8.9,0.0
20180101:1310,0.0,37.0,0.0,19.69,13.23,9.03,0.0
20180101:1410,8.0,94.0,0.0,13.3,12.79,8.07,0.0
20180101:1510,0.0,5.0,0.0,5.14,12.45,6.9,0.0
20180101:1610,0.0,0.0,0.0,0.0,12.09,6.34,0.0
20180101:1710,0.0,0.0,0.0,0.0,11.76,6.34,0.0
20180101:1810,0.0,0.0,0.0,0.0,11.71,6.0,0.0
20180101:1910,0.0,0.0,0.0,0.0,11.83,6.0,0.0
20180101:2010,0.0,0.0,0.0,0.0,11.77,5.72,0.0
20180101:2110,0.0,0.0,0.0,0.0,11.7,6.28,0.0
20180101:2210,0.0,0.0,0.0,0.0,11.6,6.07,0.0
20180101:2310,0.0,0.0,0.0,0.0,11.6,6.48,0.0
20180102:0010,0.0,0.0,0.0,0.0,11.53,7.38,0.0
20180102:0110,0.0,0.0,0.0,0.0,11.71,7.52,0.0
20180102:0210,0.0,0.0,0.0,0.0,11.6,6.97,0.0
20180102:0310,0.0,0.0,0.0,0.0,10.97,5.72,0.0
20180102:0410,0.0,0.0,0.0,0.0,10.92,5.03,0.0
20180102:0510,0.0,0.0,0.0,0.0,9.82,5.1,0.0
20180102:0610,0.0,0.0,0.0,0.0,9.33,3.93,0.0
20180102:0710,30.0,14.21,0.0,4.21,9.18,3.17,0.0
20180102:0810,119.01,67.0,0.0,12.54,9.39,3.03,0.0
20180102:0910,72.0,156.0,0.0,19.16,9.87,3.45,0.0
20180102:1010,345.01,67.0,0.0,23.53,10.58,4.55,0.0
20180102:1110,355.01,81.0,0.0,25.18,11.22,6.21,0.0
20180102:1210,338.01,75.0,0.0,23.88,11.58,6.83,0.0
