Latitude (decimal degrees):	35.689
Longitude (decimal degrees):	51.407
Elevation (m):	1161
Radiation database:	PVGIS-SARAH2


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20171231:2351,0.0,0.0,0.0,0.0,8.75,1.38,0.0
20180101:0051,0.0,0.0,0.0,0.0,9.06,1.24,0.0
20180101:0151,0.0,0.0,0.0,0.0,8.87,1.24,0.0
20180101:0251,0.0,0.0,0.0,0.0,8.68,1.24,0.0
20180101:0351,0.0,16.0,0.0,0.29,8.52,1.24,0.0
20180101:0451,97.01,88.0,0.0,10.42,8.85,1.17,0.0
20180101:0551,231.01,114.0,0.0,19.2,10.28,0.41,0.0
20180101:0651,345.01,120.0,0.0,26.04,11.78,1.03,0.0
20180101:0751,404.01,123.0,0.0,30.24,13.16,1.31,0.0
20180101:0851,409.01,118.0,0.0,31.23,14.21,1.52,0.0
20180101:0951,366.01,102.0,0.0,28.84,14.9,1.72,0.0
20180101:1051,254.01,93.0,0.0,23.44,15.15,1.86,0.0
20180101:1151,139.01,58.0,0.0,15.7,14.82,1.93,0.0
20180101:1251,0.0,2.0,0.0,6.29,13.85,1.52,0.0
20180101:1351,0.0,0.0,0.0,0.0,12.32,1.38,0.0
20180101:1451,0.0,0.0,0.0,0.0,10.51,1.1,0.0
20180101:1551,0.0,0.0,0.0,0.0,10.58,0.76,0.0
20180101:1651,0.0,0.0,0.0,0.0,10.3,0.48,0.0
20180101:1751,0.0,0.0,0.0,0.0,9.89,0.28,0.0
20180101:1851,0.0,0.0,0.0,0.0,9.32,0.97,0.0
20180101:1951,0.0,0.0,0.0,0.0,8.8,0.34,0.0
20180101:2051,0.0,0.0,0.0,0.0,8.73,0.62,0.0
20180101:2151,0.0,0.0,0.0,0.0,8.1,1.17,0.0
20180101:2251,0.0,0.0,0.0,0.0,8.2,1.17,0.0
20180101:2351,0.0,0.0,0.0,0.0,7.98,1.31,0.0
20180102:0051,0.0,0.0,0.0,0.0,10.11,0.97,0.0
20180102:0151,0.0,0.0,0.0,0.0,10.13,0.69,0.0
20180102:0251,0.0,0.0,0.0,0.0,10.08,0.76,0.0
20180102:0351,0.0,3.0,0.0,0.26,9.81,0.76,0.0
20180102:0451,0.0,24.0,0.0,10.41,7.34,1.52,0.0
20180102:0551,0.0,36.0,0.0,19.22,7.42,1.31,0.0
20180102:0651,4.0,181.0,0.0,26.08,9.86,1.03,0.0
20180102:0751,163.0,248.0,0.0,30.31,10.67,0.69,0.0
20180102:0851,273.01,199.0,0.0,31.32,11.66,1.79,0.0
20180102:0951,320.01,134.0,0.0,28.95,11.92,2.69,0.0
20180102:1051,6.0,144.0,0.0,23.57,12.28,3.45,0.0
20180102:1151,59.0,97.0,0.0,15.83,11.76,3.17,0.0
20180102:1251,0.0,11.0,0.0,6.42,10.87,2.34,0.0
20180102:1351,0.0,0.0,0.0,0.0,9.37,2.14,0.0
20180102:1451,0.0,0.0,0.0,0.0,8.03,2.21,0.0
20180102:1551,0.0,0.0,0.0,0.0,6.79,2.21,0.0
20180102:1651,0.0,0.0,0.0,0.0,5.66,2.21,0.0
20180102:1751,0.0,0.0,0.0,0.0,4.75,2.28,0.0
20180102:1851,0.0,0.0,0.0,0.0,3.64,2.07,0.0
20180102:1951,0.0,0.0,0.0,0.0,2.91,2.21,0.0
20180102:2051,0.0,0.0,0.0,0.0,2.37,2.28,0.0
20180102:2151,0.0,0.0,0.0,0.0,2.06,2.41,0.0
20180102:2251,0.0,0.0,0.0,0.0,2.06,2.62,0.0
20180102:2351,0.0,0.0,0.0,0.0,2.46,2.9,0.0
20180103:0051,0.0,0.0,0.0,0.0,2.69,3.03,0.0
20180103:0151,0.0,0.0,0.0,0.0,2.37,2.9,0.0
20180103:0251,0.0,0.0,0.0,0.0,2.09,2.69,0.0
20180103:0351,0.0,21.0,0.0,0.24,1.82,2.48,0.0
